chunk_id,hierarchy,title,content,keywords,question_predict,relevant_doc_ids,reference_answer
PCB01-P025-C039,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 25,Alternate Standard Approval Report,"When an alternate standard or criteria as defined by 6.3. of GSFC-STD-8001 has been used or will be used to design, manufacture, test, or inspect PCBs for flight, flight spare and custom mission critical support hardware, the supplier shall provide the Program office a report of that alternate standard or criteria for GSFC review and approval. The report shall include the full requirements set and indicate any items that are not explicitly specified within the alternate standard (i.e., designer’s decisions) or are exceptions to the standard default requirements.","alternate standard, GSFC approval, PCB, report, requirements set, exceptions",供应商使用替代标准进行PCB相关活动时，需向GSFC提交什么内容以获得批准？,"[""PCB01-P025-C039""]",需向计划办公室提供该替代标准的报告，包括完整的要求集，并指明未明确规定的项目或对默认要求的例外情况。
PCB01-P031-C047,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 31,GSFC PCB Test Coupon Submittal Requirements,"of Preparation Information: The supplier shall provide reports from GSFC or a GSFC-assessed laboratory for PCB test coupons that are directly traceable to each board that is intended for use in hardware for evaluation: The supplier should use the GSFC Coupon Submittal Form (GSFC 23-16) for documentation and delivery of design characteristics associated with the coupon report. If the GSFC Coupon Submittal Form (GSFC 23-16) is not used, the system developer or supplier shall provide supporting manufacturing documentation with the coupons that is traceable to the flight boards, including the performance specification and product classification to which the board was fabricated; type of printed board; relevant deviations, waivers, or additional fabrication requirements; indication if there are blind, buried, or micro vias present; base material information; PCB part number and revision level; lot date code; serial number and Vendor ID (CAGE Code if a US vendor). The submittal package shall include a copy of the board drawing or drawing notes; stackup, panel map; and number of board layers if not otherwise included. Final dispositions for populating PCBs after structural integrity coupon analysis will come from GSFC project.","GSFC, 测试陪片, 提交要求, 可追溯性, PCB, test coupon, submittal form, 结构完整性",供应商在提交与飞行板直接可追溯的PCB测试陪片时，如果未使用GSFC陪片提交表，需要提供哪些支持性制造文档？,"[""PCB01-P031-C047""]",需要提供与飞行板可追溯的支持性制造文档，包括：性能规范和产品分类、印刷板类型、相关偏差豁免或附加要求、是否存在盲埋孔或微孔、基材信息、PCB零件号和修订版本、批号日期代码、序列号和供应商ID（CAGE码），以及板图或图纸注释、叠层/面板图和层数。
PCB01-P033-C050,GSFC-STD-8001 Standard Quality Assurance Requirements for Printed Circuit Boards > Page 33,PCB采购信息要求,of o Applicable printed board performance standard o Fabrication notes or procurement specifications  Note of any waiver or deviation affecting printed board requirements or acceptability  Printed board vendor(s) or candidates  Quantity required for flight build  Minimum quantity required for spares The procurement information will ensure that boards and test coupons are fabricated for each design in a quantity sufficient to meet testing requirements per IPC-2221 Generic Standard on Printed Board Design and satisfy vendor acceptance testing per IPC-601X.,"采购信息, PCB, 性能标准, 制造说明, 偏差, 供应商, 飞行件数量, 备件",为满足测试和验收要求，需要提供哪些与PCB相关的采购信息？,"[""PCB01-P033-C050""]",需要提供适用的印刷板性能标准、制造说明或采购规范、任何影响要求的偏差或豁免说明、印刷板供应商或候选供应商、飞行制造所需数量以及备件最低数量。
PCB02-P001-C001,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 1,可靠性定义,"Printed Circuit Board Inspection and Quality Control – PCB Failure Causes and Cures (Workshop G) Bhanu Sood Reliability and Risk Assessment Branch Safety and Mission Assurance Directorate NASA Goddard Space Flight Center Phone: + (301) 286-5584 Safely Achieve Amazing Science Through Mission Success SAFETY and MISSION ASSURANCE DIRECTORATE Code Disclaimer The material herein is presented “for guidance only”. We do not warrant the accuracy of the information set out on this presentation. It may contain technical inaccuracies or errors and/or non-updated data. Information may be changed or updated without notice. Closure What is Reliability? Reliability is the ability of a pr oduct to properly function, within specified performance limits, for a specified period of time, under the life cycle application conditions –W i t h i nspecified performance limits: A product must function within certain tolerances in order to be reliable. –F o r a specified period of time: A product has a useful life during which it is expected to function within specifications. –U n d e rthe life cycle application conditions: Reliability is dependent on the product’s life cycle operational and environmental conditions.","可靠性, 定义, 性能限制, 时间, 寿命周期条件, reliability",在该文档中，可靠性是如何定义的？,"[""PCB02-P001-C001""]",可靠性是产品在寿命周期应用条件下，在规定的性能范围（公差）内，在规定的时间内正常工作的能力。
PCB02-P013-C015,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 13,多层PCB层压与钻孔准备流程,"Once all the cores that go into the finished board are ready, they get released to kitting, where all the materials are put together to make a “blank”. Copper foil will be placed on top and bottom, with the cores properly layered on the inside between sheets of prepreg (“B”-stage, fiberglass cloth impregnated with partially cured resin). This prepreg will act as the “glue” that holds the multilayer blank together, and will form the necessary dielectric between adjac ent cores. All materials are placed over pins on registration plates to insure that the layers are perfectly lined up. Several boards laid up together separated by aluminum foil become a “book” with a top registration plate placed over the book. The books are placed in vacuum presses, where air is removed, and pressed together under heat and pressure. After pressing, pins are removed, “flash” is trimmed, and the blanks are separated, ready for drilling. KIT/ Laminate/ FAB Outer Layer Process The blanks are pinned in stacks on tooling plates and drilled on multi-spindled drill machines. The computerized drill program determines where the holes are placed, and automatically changes drill sizes when each drill size has completed its path. Holes can be as small as .008” or as large as .250”. X-ray and visual inspection are used to verify that the holes are fully drilled and properly aligned to the inner layer pads. Deburring equipment removes any burrs that may have formed. Drill and Deburr The holes undergo a process to remove any resin smear covering innerlayer connects and to slightly roughen the hole walls to allow for subsequent plating.","multilayer PCB, lamination, prepreg, drilling, deburring, 多层PCB, 层压, 预浸料",在多层PCB制作中，采用什么材料作为粘合各层的“胶水”，并描述其组成？,"[""PCB02-P013-C015""]",使用预浸料（prepreg），它由部分固化的树脂浸渍的玻璃纤维布（B阶段）构成，起到粘合多层板并形成相邻芯板间介质的作用。
PCB02-P020-C023,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 20,IPC-A-600 Class 3起泡接收标准,"Case Study and Discussion Blistering IPC-A- Section 3.1.4, Class 3: Acceptable •Max two per side •Not exceeding 0.25mm Nonconforming •More than two per side •Larger than 0.25mm Blister Blisters 2mm Secondary Blistering – Eric Their Blistering Blistering – Eric Their Absence of, or poor hole wall treatment Incompletely cured laminate Improper PCB storage or handling. Excessive copper plating rates during PTH wall plating Delamination Material Epoxy Resin SystemHardener Binder Accelerator Humidity Pre-preg Reinforce Material Copper Sheet Solder mask Dimensions Properties CTEQuality Design No. of layers Copper Thickness Epoxy/Resin System Operating Conditions Assembly Process Life Cycle Stack up Sequence Pre-preg Warpage Specs Assembly Process/Method Pressuretime Temperature Curing Temp time Stacking up Method Warpage Bow & Twist Blank Booking Metallization time method temperatureReflow profile No. of passes alloy Wave Solder ProfileCooling Rate Man Training Certification Knowledge Ability Handling OJT Working Instructions Fishbone – Delamination","blistering, IPC-A-600, Class 3, acceptance criteria, 起泡, 接收标准, 缺陷尺寸",按照IPC-A-600 Class 3标准，PCB上的起泡缺陷在什么条件下被视为可接受？,"[""PCB02-P020-C023""]",每面最多两个起泡，且每个起泡尺寸不超过0.25mm。超过两个或任一尺寸大于0.25mm则不合格。
PCB02-P026-C030,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 26,空心纤维与CAF失效机制,"Hollow Fibers Hollow fibers are vacuous glass filaments in E-glass laminates which can provide paths for CAF. With the appearance of hollow fibers inside the laminates, CAF can happen as a one step process. In this case, the number of hollow fibers inside the laminates is most critical to reliability. Drilling Drilling damage can accelerate CAF through Fiber/resin delamination, Creation of paths for moisture to accumulate Wicking due to cracking of the board material Drilling Damage PTH-Resin Separation In both of these SEM pictures, a separatio n can be seen at the copper plating to fiber epoxy resin board interface. These gaps prov ide an accessible path for moisture to accumulate and CAF to initiate. These voids can be adjacent to inner-layer copper foil or to the PTH barrel and normally result from contraction of the epoxy (resin recession) due to the heat of thermal stress.","hollow fibers, CAF, E-glass, laminate reliability, drilling damage, 空心纤维, 导电阳极丝, 可靠性",空心纤维如何影响层压板的CAF（导电阳极丝）失效过程？,"[""PCB02-P026-C030""]",空心纤维是E-玻璃纤维层压板中的空腔玻璃丝，可直接为CAF提供路径，使CAF能一步发生；此时层压板中空心纤维的数量对可靠性最为关键。
PCB02-P032-C037,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 32,间歇性故障的影响与常见实例,"The Impact of Intermittents ¾ Can not determine root cause and thus the reason for the failure (NFF) ¾ Reliability modeling analysis can be faulty ¾ Potential safety hazards ¾ Decreased equipment availability ¾ Long diagnostic time and lost labor time ¾ Complicated maintenance decisions ¾ Customer apprehension, inconvenience and loss of customer confidence ¾ Loss of company reputation ¾ Increased warranty costs ¾ Extra shipping costs Some common examples of intermittent failures: – Medical: asthma attacks, allergy attack s, angina, toothaches (especially if food- or temperature- dependent) – Automotive: squealing sound or failure to charge battery due to loose fan belt – Utility: brown-outs – Cell phone or computer: multiple letter entries for a single keystroke, which may be due to bad contact or sticky keys on keypad – Household: water ingress through leaky roof, especially if leak is wind- driven; running toilet, due to problems with mechanism or plunger seal Common Examples of Intermittents","intermittent failure, NFF, reliability, safety, warranty, 间歇性故障, 无法复现, 保修成本",间歇性故障可能给产品和维护带来哪些负面影响？,"[""PCB02-P032-C037""]",间歇性故障会导致无法确定根本原因（NFF）、可靠性模型分析错误、潜在安全危害、设备可用性降低、诊断与人工时间延长、保修成本和运输成本增加，以及客户信心下降和企业声誉受损。
PCB02-P036-C045,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 36,PCB屈曲力测量与黑镍现象,"Measuring the buckling forc e using various length of whisker probes Buckling Force 1/2* ¸¸ ¹ · ¨¨ © § ¸¸ ¹ · ¨¨ © §| 32)( L dE KL EIFB S S E=Young’s modulus of whisker I=Area moment of inertia L=Length of whisker K=Column effective length factor(0.7) Whisker probe Tin plating layer Conformal coating * - Han, Sungwon, et al. ""Evaluation of effectiveness of conformal coatings as tin whisker mitigation."" Journal of electronic materials 41. (2012): Challenge – Most of whiskers on whisker probe are already buckled. – Tip of whiskers were dama ged during the cut-off process. Intermittent Failures Due to Black Pad The ‘Black Pad’ phenomenon in Electroless Nickel over Immersion Gold (ENIG) board finish manifests itself as gray to black appearance of the solder pad coupled with either poor solderability or solder connection, which may cause intermittent electrical ‘opens.’ Bulwith et al. [2002] identified numerous Ball Grid Array (BGA) package intermittent electrical open failures to be black pad related. Copper Pad Black Pad Nickel Section – III Effects of Moisture","屈曲力, 晶须探针, 杨氏模量, 黑镍, ENIG, conformal coating",在ENIG板面处理中，什么是“黑镍”现象？,"[""PCB02-P036-C045""]",黑镍现象是化学镍金（ENIG）板面处理中的一种缺陷，焊盘呈灰色至黑色外观，焊接性差或焊点连接不良，可能引起间歇性电气开路。Bulwith等人发现许多BGA封装间歇性开路失效与此有关。
PCB02-P043-C054,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 43,电化学迁移防护与保形涂层,"V oltage Bias/V oltage Gradient Contamination (type and concentration) – Halide vs non-halide –O r g a n i c s Conductor material (copper, silver, tin/lead, etc.) Conductor pre-treatment and surface condition – Conductor surface roughness, scratches/pits, presence of solder mask and conformal coatings – Permeability of coatings Substrate composition (FR-4, BaTiO3, etc.) Electrolyte (e.g., water, rosin) Gaseous pollutants (Cl 2, H2S, SO2) Conductor configuration (comb) Preventative Actions for ECM Reduce Moisture Ensure proper solder mask coverage Conformal coatings – Barrier to external sources of contamination. – Reduce moisture absorption – Ineffective against intrinsic contaminants – Delamination of coating from board can accelerate ECM due to moisture condensation Introduction to Conformal Coatings Conformal Coating Conformal coating is defined as a thin polymeric layer. The application of conformal coating is to protect the components on PCB from the environments. The conformal coating is required not only to protect the circuit against the effects of environmental hazards, but also to provide good dielectric characteristics and moisture resistance. The selection of conformal coatings is rely on the protection requirement for PCB.","电化学迁移, 保形涂层, 电压偏压, 卤化物, 湿气防护, 分层",保形涂层在防护PCB免受环境影响和电化学迁移（ECM）中起什么作用？,"[""PCB02-P043-C054""]",保形涂层是一层薄聚合物层，用于保护PCB组件免受环境危害，提供良好的介电性能和防潮性；在ECM防护中作为外部污染屏障并减少湿气吸收，但对本征污染物无效，涂层与板面分层可能加速湿气凝结下的ECM。
PCB02-P050-C061,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 50,PCB芯吸与毛细作用区别,"Wicking and Capillary Action Although the concept of capillary action is similar to wicking, – Distinction lies in that wicking is used to describe enhanced moisture absorption due to voids or cracks at the interfaces. – Capillary action is generally used to desc ribe enhanced moisture absorption due to voids or cracks in the bulk. The sites for wicking and capillary acti on are present in the form of voids or cracks that may form by the addition of fillers. Bulk diffusion is dominant in the moisture transport. Wicking involves ingress of moisture absorbed by epoxy glass at board edge. Fiber/resin interface delamination occurs as a result of stresses generated under thermal cycling due to a large CTE mismatch between the glass fiber and the epoxy resin (approximately 5. ppm/°C and ppm/°C. Delamination Capillary Action Capillary action is generally used to describe enhanced moisture absorption at cracks or voids. Drilling Damage Wicking in PCBs 1. Oh. “EE428 BioMEMS and LOAC – Lecture 10: Capillary-Driven Microfluidics”. University of Buffalo, The State University of New York. (2010). Soles and Yee. “A discussion of the molecular mechanisms of moisture transport in epoxy resins”/ Journal of Polymer Science Part B: Polymer Physics 38.5. (2000). Wicking occurs as a result of capillary action. Capillary action is a result of surface tension acting on the liquid’s leading edge. Geometry, material properties, and environmental conditions can all affect how a fluid wicks. Molecular Mechanisms of Moisture Transport","芯吸, 毛细作用, 水分传输, 界面分层, 玻璃纤维, 环氧树脂, CTE不匹配",PCB中的芯吸（wicking）与毛细作用（capillary action）的主要区别是什么？,"[""PCB02-P050-C061""]",两者相似，但芯吸用于描述界面处因空洞或裂纹导致的水分吸收增强，而毛细作用通常描述基体内部空洞或裂纹引起的水分吸收增强。PCB中芯吸由环氧玻璃板边缘吸收水分引发，热循环下玻璃纤维与环氧树脂的热膨胀系数不匹配导致纤维/树脂界面分层。
PCB02-P057-C068,Printed Circuit Board Inspection and Quality Control - PCB Failure Causes and Cures > Page 57,PCB体水分含量计算与烘焙指南,"Calculate the bulk moisture c ontent using the following equation: Calculate the moisture absorption rate by plotting the bulk moisture content versus time using the data recorded. weightdConditione weightdConditioneweightInitialContentMoisture  Guidelines for Baking – Environment – Ensure proper calibration of the oven. Baking should be performed in a forced air recirculating oven, vacuum or nitrogen atmospheres are also effective. Ensure proper venting and cleanliness of the oven. Sufficient gaps between PCBs for proper circulation (do not stack PCBs). Fan and air flow path will dictate configuration of PCBs - vertical or horizontal orientation. If using trays, consider material interactions between tray and PCB/surface finishes. E.g. out- gassing or particulate contamination. Guidelines for Baking – Environment – Suggestions on Baking Oven Selection Temperature range from +40°C to +280°C. Steady (+/- ºC) operation Capability of countdown timer Inert inner surfaces (e.g. Inert thermal insulation materials (natural mineral fiber) Manually controlled ventilation opening Safety alarm and manual reset Optional: – Programmed start-up – PC interface for programming and data download (GPIB or USB)","体水分含量, 烘焙, 强制空气循环炉, 水分吸收率, 校准, 重量",如何计算PCB的体水分含量？,"[""PCB02-P057-C068""]",使用公式：(初始重量 - 调理后重量) / 调理后重量 计算体水分含量，然后通过绘制体水分含量随时间的变化曲线来确定水分吸收率。
