chunk_id,hierarchy,title,content,keywords,question_predict,relevant_doc_ids,reference_answer
3.3-01,IPC-A-610 Guide > 3 Component Placement > 3.3 Through-Hole Placement,Through-Hole Lead Placement,"For through-hole components, leads should be trimmed and bent to the correct length and angle to support proper solder-joint formation.<br>Leads should be flush with the PCB surface to avoid mechanical interference with other components.","through-hole lead, trimming, bending, lead length, mechanical interference",通孔元件引脚为什么需要按正确长度和角度修剪、弯折？,"[""3.3-01""]",正确修剪和弯折可保证焊点正常成形，并使引脚贴近 PCB 表面，避免与其他元件发生机械干涉。
3.4-01,IPC-A-610 Guide > 3 Component Placement > 3.4 SMT Placement,Surface-Mount Placement,"For surface-mount components, placement should be accurate and consistent, with proper alignment and spacing.<br>Component orientation should be verified before soldering to confirm that the component is correctly placed.","SMT placement, alignment, spacing, orientation verification",SMT 元件在焊接前需要确认哪些贴装条件？,"[""3.4-01""]",焊接前应确认 SMT 元件贴装准确且一致，间距和对齐正确，并核实元件方向无误。
4-01,IPC-A-610 Guide > 4 Soldering,Soldering Requirements,"Soldering criteria apply to through-hole, surface-mount, and combined-technology assemblies.<br>The guide identifies solder-joint formation, fillet, joint shape, cleanliness, and mechanical strength as key evaluation aspects.<br>The criteria are intended to ensure assemblies meet quality requirements for their intended use.","soldering, solder joint, fillet, cleanliness, mechanical strength",焊点检验通常应包含哪些关键项目？,"[""4-01""]",焊点检验通常包括焊点成形、焊锡弯月面、焊点外形、清洁度和机械强度。
4.1-01,IPC-A-610 Guide > 4 Soldering > 4.1 Formation,Solder Joint Formation,"The solder joint should be consistent and uniform.<br>It should have no voids, excessive solder, or solder bridging.<br>Solder should completely wet the pad or lead surface to provide a strong, reliable joint.","solder joint formation, wetting, void, excessive solder, bridging",什么样的焊点形成可视为可靠？,"[""4.1-01""]",可靠焊点应均匀一致、焊锡充分润湿焊盘或引脚，并且没有空洞、焊锡过多或桥连。
4.2-01,IPC-A-610 Guide > 4 Soldering > 4.2 Fillet,Solder Joint Fillet,The solder-joint fillet should be smooth and concave.<br>A visible transition should be present between the pad or lead surface and the solder.<br>The fillet should be continuous and uniform around the entire joint perimeter.,"solder fillet, concave fillet, wetting transition, continuous fillet",可靠焊点的焊锡弯月面应具备哪些外观特征？,"[""4.2-01""]",焊锡弯月面应平滑、内凹，在焊盘或引脚与焊锡之间有清晰过渡，并围绕整个焊点保持连续和均匀。
4.3-01,IPC-A-610 Guide > 4 Soldering > 4.3 Shape,Solder Joint Shape,"Solder-joint shape should suit the component type and intended assembly use.<br>For through-hole components, the solder joint should be barrel-shaped.<br>For surface-mount components, the solder joint should be flat or slightly concave.","solder joint shape, barrel-shaped, through-hole, SMT, concave",通孔焊点和 SMT 焊点的推荐外形有什么区别？,"[""4.3-01""]",通孔焊点推荐呈桶形；SMT 焊点推荐呈平坦或轻微内凹形。
4.4-01,IPC-A-610 Guide > 4 Soldering > 4.4 Cleanliness and Strength,Solder Cleanliness and Strength,"The solder joint and surrounding area should be free from flux residues, debris, and other contaminants that could affect joint reliability.<br>The solder joint should be mechanically strong and sound, with no visible cracks or fractures.<br>The joint should withstand stresses and strains from assembly, testing, and use.","flux residue, contamination, crack, fracture, solder joint strength",焊点周围的残留物和裂纹会如何影响验收？,"[""4.4-01""]",助焊剂残留、碎屑等污染物会降低可靠性；可见裂纹或断裂说明机械强度不足，焊点不能通过验收。
5.1-01,IPC-A-610 Guide > 5 Cleaning and Coating > 5.1 Cleaning,Cleaning Requirements for PCBA,"The assembly should be cleaned after soldering to remove flux residues, debris, and other contaminants that can affect assembly reliability.<br>The selected cleaning method should suit the assembly type.<br>The cleaning agent should not damage the assembly or its components.","PCBA cleaning, flux residue, debris, cleaning agent, contamination",PCBA 焊后清洗应满足哪些基本要求？,"[""5.1-01"",""4.4-01""]",焊后应去除助焊剂残留、碎屑和其他污染物；清洗方法要适合组件类型，清洗剂不得损伤组件或元器件。
5.2-01,IPC-A-610 Guide > 5 Cleaning and Coating > 5.2 Conformal Coating,Conformal Coating Requirements,"An assembly may be protected with conformal coating against moisture, dust, and chemical exposure.<br>The coating should be applied uniformly and consistently.<br>Voids, bubbles, and other coating defects that can affect assembly reliability should not be present.","conformal coating, moisture, dust, chemical exposure, void, bubble",三防漆涂覆出现气泡或空洞时有什么风险？,"[""5.2-01""]",气泡和空洞会破坏涂层的均匀与连续保护，削弱防潮、防尘和耐化学暴露能力，从而影响组件可靠性。
5.3-01,IPC-A-610 Guide > 5 Cleaning and Coating > 5.3 Thickness and Material,Coating Thickness and Material,"Coating thickness should be appropriate to the intended use of the assembly and should not affect assembly functionality or performance.<br>Thickness may be measured with appropriate tools and should be within the acceptable range.<br>Coating material should suit the assembly type and intended use, be compatible with assembly materials, and not affect functionality or reliability.","coating thickness, coating material, compatibility, conformal coating, measurement",如何判断三防漆厚度和材料是否适合该 PCBA？,"[""5.3-01""]",厚度应符合预期用途和允许范围且不影响功能；材料应适配组件类型与使用环境、兼容组件材料，并且不损害性能和可靠性。
6-01,IPC-A-610 Guide > 6 Marking and Labeling,Marking and Labeling Requirements,"Marking and labeling support identification and traceability of the complete assembly and its components.<br>The guide applies these requirements to through-hole, surface-mount, and mixed-technology electronic assemblies.","marking, labeling, identification, traceability, PCBA",PCB 和组件标识为何是验收与追溯的重要部分？,"[""6-01"",""6.1-01"",""6.2-01""]",标记和标签为整机及其元件提供身份识别和追溯依据，因此是验收、问题定位和质量追踪的重要组成部分。
6.1-01,IPC-A-610 Guide > 6 Marking and Labeling > 6.1 Identification,"Component, PCB, and Assembly Marking","Components, PCBs, and completed assemblies should carry appropriate identification codes or symbols to enable identification and traceability.<br>Marking should be legible, permanent, and located in a visible area of the relevant component, PCB, or assembly.","component marking, PCB marking, assembly marking, legibility, permanence, traceability",元件、PCB 和整机标识需要满足哪些共同要求？,"[""6.1-01"",""6-01""]",元件、PCB 和整机都应带有可识别和追溯的代码或符号；标识应清晰、永久并位于可见位置。
6.2-01,IPC-A-610 Guide > 6 Marking and Labeling > 6.2 Labels and Orientation,"Labels, Location, and Orientation Marking","An assembly may require labels that provide additional information or instructions to the end user.<br>Labels should be legible, permanent, and placed in a visible area of the assembly.<br>Component location and orientation should be marked on the PCB to enable accurate placement and support functional reliability.","labeling, location marking, orientation marking, legible, permanent",PCB 上的位置和方向标识有什么作用？,"[""6.2-01""]",位置和方向标识用于指导元件准确贴装、避免方向错误，并支持最终产品的功能可靠性。
7-01,IPC-A-610 Guide > 7 Training and Certification,Training and Certification Requirements,IPC-A-610 training and certification are intended to ensure that personnel involved in electronic-assembly production have the knowledge and skills required to perform their work effectively and to the required quality level.,"training, certification, IPC-A-610, personnel qualification, electronics assembly",IPC-A-610 培训与认证的目标是什么？,"[""7-01"",""1-01""]",培训与认证旨在确保电子装配生产人员具备按规定质量水平有效完成工作的知识和技能。
7.1-01,IPC-A-610 Guide > 7 Training and Certification > 7.1 Program and Recertification,"Training, Certification, and Recertification","Training should cover relevant IPC-A-610 topics and criteria and be delivered by certified trainers or training centers.<br>Training may include classroom instruction, practical exercises, and examinations.<br>Certification examinations assess knowledge and skills and may have different levels based on job function and responsibilities.<br>Certified personnel may require periodic recertification to maintain current knowledge and skills.","training program, certification exam, recertification, certified trainer, practical exercise",IPC-A-610 认证培训通常包含哪些环节？,"[""7.1-01""]",通常包括认证讲师或培训中心授课、课堂教学、实践练习、考试与分级认证，并通过定期再认证保持知识和技能有效。
7.2-01,IPC-A-610 Guide > 7 Training and Certification > 7.2 Records,Training Records,"Training records should be maintained for every individual who receives IPC-A-610 training and certification.<br>Records should include the individual's name, training date, certification date, certification level, and other relevant information.","training records, certification record, certification level, traceability",IPC-A-610 培训记录至少应保留哪些信息？,"[""7.2-01""]",至少应记录受训人员姓名、培训日期、认证日期、认证等级及其他相关信息。
8.1-01,IPC-A-610 Guide > 8 FAQ > 8.1 Product Classes,Class 2 and Class 3,"Class 2 covers dedicated-service electronic products for which continued performance and extended life are required, but uninterrupted service is not critical; examples include computers and household appliances.<br>Class 3 covers high-performance or harsh-environment products for mission-critical applications where downtime is not acceptable; examples include medical life support, aerospace, and military systems.<br>The guide states that Class 3 requires more inspection and stricter tolerances, giving through-hole vertical solder fill of 75% for Class 3 compared with 50% for Class 2.","Class 2, Class 3, through-hole fill, high reliability, aerospace, medical",IPC Class 2 和 Class 3 的关键差异是什么？,"[""8.1-01"",""8.6-01""]",Class 2 面向要求持续性能和较长寿命、但不中断运行并非关键的专用产品；Class 3 面向任务关键或恶劣环境产品，容差更严、检验更多，通孔填充要求也更高。
8.2-01,IPC-A-610 Guide > 8 FAQ > 8.2 BGA and QFN Voiding,Solder Voiding in BGA and QFN,"The guide states that a void in a BGA joint is generally acceptable when it occupies less than 25% of the total solder-ball area.<br>For QFN thermal pads, requirements may vary according to heat-dissipation needs.<br>Although 25% is presented as a general rule of thumb, high-power applications may require stricter limits to prevent overheating.","BGA void, QFN thermal pad, solder voiding, X-ray, 25 percent",BGA 焊点空洞面积低于 25% 是否可以接受？,"[""8.2-01""]",通常可以接受，因为一般规则是 BGA 空洞面积小于焊球总面积的 25%；但高功率应用可能需要更严格的限制。
8.3-01,IPC-A-610 Guide > 8 FAQ > 8.3 Component Misalignment,Component Misalignment and Overhang,"The guide states that component misalignment is not always a defect.<br>Depending on class and component type, side overhang of up to 25% or 50% of component width may be acceptable.<br>A slight misalignment is often acceptable when minimum electrical clearance is maintained and the solder joint remains robust.","component misalignment, overhang, electrical clearance, acceptable, defect",元件侧向悬伸在什么条件下仍可接受？,"[""8.3-01""]",侧向悬伸是否可接受取决于产品等级和元件类型，通常上限为元件宽度的 25% 或 50%；同时必须保持最小电气间隙且焊点牢固。
8.4-01,IPC-A-610 Guide > 8 FAQ > 8.4 No-Clean Flux,No-Clean Flux Residues,"No-clean flux residues are described as acceptable when they are non-corrosive, non-conductive, and do not interfere with visual inspection or testing.<br>In high-humidity environments, even no-clean residue can contribute to electrochemical migration (ECM) or dendritic growth; the guide recommends professional cleaning for harsh operating conditions regardless of flux type.","no-clean flux, flux residue, non-corrosive, ECM, dendritic growth, humidity",免清洗助焊剂残留在什么情况下仍需清洗？,"[""8.4-01""]",当组件处于高湿度或其他恶劣工作环境、残留可能引发电化学迁移或枝晶生长时，即使是免清洗助焊剂也建议进行专业清洗。
8.5-01,IPC-A-610 Guide > 8 FAQ > 8.5 Visual Acceptance,Visual Acceptance Versus Process Control,IPC-A-610 is described as a visual acceptance standard that defines the required appearance of the final product.<br>It does not prescribe the manufacturing process; the guide identifies IPC-J-STD-001 as the standard that addresses how assemblies are built.<br>IPC-A-610 therefore serves as a quality checklist for assessing whether delivered boards meet visual reliability benchmarks.,"visual acceptance, process control, IPC-J-STD-001, inspection checklist",IPC-A-610 与 IPC-J-STD-001 在用途上有什么区别？,"[""8.5-01"",""1-01""]",IPC-A-610 规定成品应达到的目视验收外观，用于判断交付板是否合格；IPC-J-STD-001 规定组件应如何制造和焊接，侧重过程要求。
8.6-01,IPC-A-610 Guide > 8 FAQ > 8.6 Quick Reference,IPC-A-610 Quick Reference Table,| Feature | Class 1 (General) | Class 2 (Dedicated) | Class 3 (High-Rel) |<br>|---|---|---|---|<br>| Application | Consumer Electronics | Industrial/Business | Medical/Aerospace |<br>| Through-Hole Fill | Not specified | 50% minimum | 75% minimum |<br>| Component Overhang | Most lenient | Moderate | Strictest limits |<br>| Inspection Rigor | Visual Sample | Thorough | 100% Inspection/X-Ray |,"Class 1, Class 2, Class 3, through-hole fill, overhang, inspection rigor",IPC Class 1、2、3 在通孔填充和检验严格度上如何比较？,"[""8.6-01"",""8.1-01""]",Class 1 要求最宽松且通孔填充未明确；Class 2 通孔填充至少 50%、检验较全面；Class 3 至少 75%、容差最严，并采用 100% 检验或 X-Ray。
